# x_interp smoothed_curve trend
2020.066736 -88.859895 -87.614620
2020.173512 -87.611808 -87.911049
2020.192677 -87.587387 -87.964698
2020.211842 -87.578937 -88.018408
2020.231007 -87.579858 -88.072174
2020.306127 -87.305131 -88.283028
2020.325292 -87.143656 -88.336692
2020.345312 -86.946036 -88.392654
2020.345540 -86.943439 -88.393290
2020.345883 -86.939532 -88.394246
2020.362424 -86.751105 -88.440356
2020.383985 -86.486891 -88.500244
2020.403149 -86.244549 -88.553276
2020.420774 -86.019473 -88.601867
2020.431383 -85.893622 -88.630942
2020.439939 -85.794071 -88.654356
2020.447696 -85.703817 -88.675583
2020.459104 -85.597912 -88.706584
2020.478269 -85.436443 -88.758543
2020.497434 -85.376441 -88.809986
2020.517797 -85.413158 -88.864243
2020.556127 -85.823955 -88.965091
2020.592917 -86.724307 -89.059886
2020.612082 -87.343295 -89.108515
2020.631247 -88.035705 -89.156404
2020.686859 -89.987517 -89.292005
2020.687316 -90.002073 -89.293099
2020.689825 -90.081988 -89.299107
2020.725189 -90.984120 -89.382231
2020.744354 -91.286823 -89.426050
2020.764717 -91.517708 -89.471864
2020.783882 -91.667563 -89.514307
2020.839836 -91.906868 -89.633410
2020.844741 -91.930109 -89.643466
2020.859001 -91.997677 -89.672701
2020.859686 -92.000923 -89.674105
2020.878166 -92.108212 -89.710954
2020.897331 -92.218309 -89.748533
2020.937087 -92.380778 -89.823856
2021.011979 -91.964878 -89.956108
2021.043008 -91.560102 -90.007402
2021.045404 -91.527066 -90.011302
2021.050309 -91.459435 -90.019286
2021.054188 -91.407875 -90.025536
2021.057837 -91.363664 -90.031272
2021.061831 -91.315272 -90.037550
2021.079968 -91.095523 -90.066060
2021.087099 -91.038587 -90.076913
2021.106264 -90.891115 -90.106014
2021.148130 -90.852680 -90.166889
2021.227927 -91.091165 -90.275070
2021.234202 -91.083769 -90.283170
2021.247092 -91.054076 -90.299727
2021.253651 -91.004519 -90.307958
2021.264717 -90.920910 -90.321845
2021.283882 -90.697059 -90.345518
2021.322212 -90.017508 -90.391731
2021.322440 -90.012926 -90.392003
2021.342574 -89.548928 -90.415653
2021.361739 -89.079755 -90.437899
2021.380904 -88.592993 -90.459893
2021.417694 -87.716187 -90.501368
2021.436859 -87.307289 -90.522757
2021.456024 -86.999248 -90.543949
2021.475189 -86.775024 -90.565066
2021.514717 -86.653719 -90.608423
2021.533882 -86.825541 -90.629409
2021.553047 -87.109065 -90.650411
2021.572212 -87.516868 -90.671443
2021.609001 -88.616840 -90.712068
2021.628166 -89.258755 -90.733348
2021.647331 -89.890185 -90.754817
2021.703286 -91.325944 -90.818327
2021.722451 -91.597955 -90.840449
2021.741616 -91.780896 -90.862734
2021.781144 -91.892458 -90.909446
2021.800309 -91.922594 -90.932401
2021.819474 -91.968683 -90.955545
2021.837099 -92.089882 -90.977105
2021.856264 -92.274560 -91.000698
2021.875428 -92.520521 -91.024462
2021.894593 -92.842866 -91.048503
2021.913758 -93.170697 -91.072701
2021.934121 -93.506278 -91.098579
2022.009241 -93.922378 -91.195540
2022.028406 -93.744351 -91.220552
2022.047571 -93.504823 -91.245614
2022.066736 -93.211638 -91.270718
2022.084361 -92.921947 -91.293815
2022.103526 -92.627843 -91.318914
2022.122691 -92.360362 -91.343990
2022.453514 -88.830117 -91.738479
2022.472679 -88.437055 -91.757249
2022.491844 -88.118559 -91.775351
2022.512207 -87.871156 -91.793977
2022.531372 -87.748566 -91.810888
2022.550537 -87.836184 -91.826864
2022.569702 -88.061494 -91.842254
2022.587327 -88.378409 -91.855943
2022.606492 -88.940853 -91.869768
2022.625657 -89.588740 -91.882968
2022.663987 -91.070743 -91.907167
2022.681612 -91.740953 -91.917145
2022.700777 -92.428286 -91.927414
2022.719942 -93.014176 -91.936778
2022.778634 -94.129324 -91.960613
2022.797799 -94.290080 -91.966588
2022.816964 -94.416894 -91.971922
2022.853754 -94.592755 -91.980033
2022.872919 -94.673293 -91.983090
2022.892084 -94.747633 -91.985531
2022.911249 -94.803021 -91.987100
2022.950777 -94.777895 -91.988090
2022.969942 -94.685539 -91.987631
2022.989106 -94.497999 -91.986260
2023.006731 -94.285940 -91.984547
2023.025896 -94.013647 -91.982190
2023.045061 -93.708209 -91.978975
2023.064226 -93.415462 -91.975269
2023.083391 -93.141897 -91.971093
2023.101016 -92.941418 -91.966641
2023.120181 -92.776114 -91.961325
2023.139346 -92.653711 -91.955598
2023.158511 -92.581819 -91.949327
2023.184349 -92.508197 -91.940146
2023.222679 -92.327925 -91.925169
2023.241844 -92.165901 -91.917124
2023.259469 -91.940872 -91.909350
2023.297799 -91.292179 -91.891684
2023.316964 -90.875671 -91.882340
2023.337327 -90.410629 -91.872181
2023.356492 -89.959510 -91.862412
2023.375657 -89.516512 -91.852365
2023.394822 -89.102198 -91.842130
2023.413987 -88.719050 -91.831750
2023.431612 -88.415381 -91.822043
2023.450777 -88.157759 -91.811337
2023.469942 -87.965309 -91.800525
2023.489106 -87.861002 -91.789598
2023.509469 -87.898441 -91.777854
2023.528634 -88.042628 -91.766725
2023.566964 -88.691607 -91.742194
