# x_interp smoothed_curve trend
2012.713110 -86.965131 -85.665019
2012.732240 -87.243965 -85.660534
2012.740440 -87.324254 -85.658032
2012.751370 -87.430965 -85.654693
2012.759560 -87.475858 -85.651612
2012.770490 -87.535216 -85.647490
2012.778690 -87.551900 -85.643817
2012.797810 -87.570776 -85.634649
2012.808740 -87.566604 -85.628947
2012.827870 -87.536838 -85.617606
2012.846990 -87.503616 -85.604891
2012.866120 -87.480857 -85.590803
2012.885250 -87.475194 -85.575361
2012.904370 -87.485547 -85.558590
2012.923500 -87.504300 -85.540496
2012.942620 -87.519621 -85.521125
2012.961750 -87.518536 -85.500482
2012.980870 -87.490016 -85.478630
2013.000000 -87.427499 -85.455586
2013.038360 -87.203441 -85.405988
2013.057530 -87.057899 -85.379612
2013.076710 -86.906230 -85.352227
2013.095890 -86.761062 -85.323918
2013.115070 -86.631748 -85.294741
2013.134250 -86.522264 -85.264767
2013.172600 -86.346442 -85.202725
2013.191780 -86.257561 -85.170787
2013.210960 -86.147334 -85.138351
2013.230140 -85.999939 -85.105493
2013.249320 -85.802636 -85.072301
2013.268490 -85.548016 -85.038872
2013.287670 -85.234708 -85.005261
2013.306850 -84.868190 -84.971572
2013.326030 -84.459492 -84.937893
2013.345210 -84.023731 -84.904310
2013.383560 -83.141070 -84.837822
2013.402740 -82.728563 -84.805071
2013.421920 -82.356095 -84.772779
2013.441100 -82.036799 -84.741026
2013.460270 -81.782088 -84.709920
2013.498630 -81.502681 -84.649899
2013.517810 -81.492366 -84.621167
2013.536990 -81.573806 -84.593392
2013.556160 -81.746528 -84.566661
2013.575340 -82.005285 -84.541023
2013.594520 -82.338718 -84.516564
2013.610960 -82.673201 -84.496658
2013.632880 -83.154136 -84.471446
2013.652050 -83.586101 -84.450917
2013.690410 -84.362660 -84.414168
2013.709590 -84.660126 -84.398057
2013.728770 -84.877121 -84.383515
2013.747950 -85.010239 -84.370580
2013.767120 -85.065921 -84.359296
2013.786300 -85.059405 -84.349678
2013.805480 -85.011967 -84.341761
2013.863010 -84.857823 -84.328389
2013.882190 -84.863607 -84.327432
2013.901370 -84.912200 -84.328232
2013.920550 -85.001128 -84.330789
2013.939730 -85.122260 -84.335094
2013.958900 -85.264223 -84.341136
2013.980820 -85.436989 -84.350200
2013.997260 -85.566087 -84.358380
2014.016440 -85.710011 -84.369536
2014.035620 -85.845024 -84.382348
2014.054790 -85.972127 -84.396779
2014.073970 -86.094080 -84.412805
2014.093150 -86.212820 -84.430389
2014.112330 -86.327579 -84.449487
2014.131510 -86.433271 -84.470052
2014.150680 -86.519912 -84.492036
2014.169860 -86.573400 -84.515403
2014.189040 -86.576965 -84.540104
2014.208220 -86.513856 -84.566083
2014.227400 -86.370113 -84.593283
2014.246580 -86.137147 -84.621654
2014.265750 -85.813736 -84.651126
2014.304110 -84.928765 -84.713219
2014.323290 -84.401852 -84.745712
2014.342470 -83.849777 -84.779092
2014.361640 -83.298738 -84.813286
2014.380820 -82.773333 -84.848273
2014.400000 -82.296572 -84.883978
2014.419180 -81.887684 -84.920350
2014.438360 -81.562104 -84.957334
2014.476710 -81.205546 -85.032904
2014.495890 -81.189675 -85.071416
2014.515070 -81.288108 -85.110335
2014.534250 -81.501908 -85.149618
2014.553420 -81.828367 -85.189207
2014.572600 -82.260647 -85.229095
2014.591780 -82.786074 -85.269228
2014.610960 -83.386273 -85.309564
2014.630140 -84.037493 -85.350073
2014.649320 -84.711963 -85.390721
2014.668490 -85.379792 -85.431461
2014.687670 -86.013205 -85.472304
2014.706850 -86.587405 -85.513209
2014.715070 -86.802285 -85.530754
2014.726030 -87.084573 -85.554148
2014.745210 -87.495258 -85.595108
2014.764380 -87.818661 -85.636048
2014.783560 -88.062469 -85.676994
